id,name,from,to,age_from,age_to,height_cm,weight_kg,gp,w,l,total_shots,sv%,best_year,min,qs,bs,qual_r,Brad Park,Denis Potvin,Guy Lapointe,Larry Robinson,Borje Salming,Viacheslov Fetisov,Rod Langway,Ray Bourque,Paul Coffey,Larry Murphy,Al MacInnis,Scott Stevens,Brian Leetch,Mark Howe,Chris Chelios,Scott Niedermayer,Rob Blake,Phil Housley,Nicklas Lidstrom,Chris Pronger,Drew Doughty,Erik Karlsson,Duncan Keith,P.K. Subban,Zdeno Chara
130,Chris Mason,1999,2013,22,36,182,89,317,137,113,8324,0.909,0.925,17004,107,44,2.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Steve Mason,2009,2017,20,28,193,95,413,176,160,11791,0.911,0.928,23419,203,75,2.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Markus Mattsson,1980,1984,,26,182,81,92,21,46,530,0.851,0.0,5007,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Curtis McElhinney,2008,2017,24,33,190,90,148,43,58,3710,0.904,0.914,7190,46,18,2.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
134,Kirk McLean,1986,2001,19,34,182,81,612,245,262,16882,0.887,0.904,35090,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,Jamie McLennan,1994,2007,22,35,182,86,254,80,109,6036,0.898,0.905,13834,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
136,Roland Melanson,1981,1992,,31,177,84,291,129,106,5932,0.875,0.903,16452,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Gilles Meloche,1971,1988,,37,177,84,788,270,351,5321,0.875,0.881,45401,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Corrado Micalef,1982,1986,,24,172,78,113,26,59,1689,0.858,0.862,5794,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Greg Millen,1979,1992,,34,175,79,604,215,284,10190,0.875,0.887,35377,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
140,Ryan Miller,2003,2017,22,36,187,76,661,341,238,19701,0.915,0.929,38717,302,62,4.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Eddie Mio,1980,1986,,32,177,81,192,64,73,1304,0.843,0.0,10428,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Al Montoya,2009,2017,23,31,187,94,141,58,41,3676,0.909,0.893,7658,68,19,3.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Andy Moog,1981,1998,,37,172,79,713,372,209,17424,0.892,0.915,40151,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Petr Mrazek,2013,2017,20,24,187,83,103,50,34,2725,0.919,0.921,5624,55,13,4.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Evgeni Nabokov,2000,2015,24,39,182,91,697,353,227,18398,0.911,0.922,40152,194,57,3.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,Michal Neuvirth,2009,2017,20,28,185,94,208,88,73,5854,0.912,0.924,11487,98,27,3.630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Antti Niemi,2009,2017,25,33,187,97,393,218,115,10794,0.914,0.924,22735,204,53,3.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,Antero Niittymaki,2004,2011,23,30,185,95,234,95,86,6599,0.902,0.912,13113,59,27,2.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Fredrik Norrena,2007,2009,33,35,182,85,100,35,45,2409,0.899,0.904,5235,13,8,1.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Pasi Nurminen,2002,2004,26,28,177,97,125,48,54,3519,0.904,0.906,7059,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Chris Osgood,1994,2011,21,38,177,81,744,401,216,18629,0.905,0.914,42564,59,27,2.185,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
152,Mike Palmateer,1977,1984,,30,175,77,356,149,138,986,0.849,0.849,20131,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Darren Pang,1985,1989,20,24,165,70,81,27,35,2438,0.882,0.891,4252,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
