id,name,from,to,age_from,age_to,height_cm,weight_kg,gp,w,l,total_shots,sv%,best_year,min,qs,bs,qual_r,Brad Park,Denis Potvin,Guy Lapointe,Larry Robinson,Borje Salming,Viacheslov Fetisov,Rod Langway,Ray Bourque,Paul Coffey,Larry Murphy,Al MacInnis,Scott Stevens,Brian Leetch,Mark Howe,Chris Chelios,Scott Niedermayer,Rob Blake,Phil Housley,Nicklas Lidstrom,Chris Pronger,Drew Doughty,Erik Karlsson,Duncan Keith,P.K. Subban,Zdeno Chara
1,David Aebischer,2001,2008,22,29,185,84,214,106,74,5807,0.912,0.924,12230,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Jake Allen,2013,2017,22,26,187,88,109,62,29,2753,0.914,0.92,6042,54,18,3.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Frederik Andersen,2014,2017,24,27,193,104,135,82,28,3630,0.917,0.919,7573,73,16,4.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Craig Anderson,2003,2017,21,35,187,83,474,219,173,14470,0.916,0.924,26888,224,57,3.930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
5,Jean-Sebastien Aubin,1999,2008,21,30,180,81,218,80,83,5455,0.900,0.914,11197,5,4,1.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Alex Auld,2002,2012,21,31,193,97,237,91,88,6293,0.904,0.911,12986,50,18,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
7,Niklas Backstrom,2007,2016,28,37,187,87,413,196,144,11392,0.914,0.929,23481,195,60,3.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Murray Bannerman,1978,1987,,29,180,84,289,116,125,6174,0.879,0.887,16470,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marco Baron,1980,1985,,25,180,81,86,34,38,642,0.861,0.0,4822,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Tom Barrasso,1984,2003,18,37,190,95,777,369,277,22090,0.892,0.922,44180,,,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11,Don Beaupre,1981,1997,,35,177,78,667,268,277,15419,0.884,0.897,37396,,,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Stephane Beauregard,1990,1994,22,26,180,86,90,19,39,2220,0.879,0.0,4402,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Ed Belfour,1989,2007,23,41,180,91,963,484,320,24751,0.906,0.922,55695,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
14,Jonathan Bernier,2008,2017,19,28,182,83,216,89,89,6271,0.915,0.923,12006,109,32,3.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15,Daniel Berthiaume,1987,1994,21,28,175,70,215,81,90,5849,0.878,0.892,11662,,,,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Allan Bester,1984,1996,19,31,170,70,219,73,99,6699,0.883,0.89,11773,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,Craig Billington,1986,2003,19,36,177,77,332,110,149,8388,0.877,0.876,17097,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Martin Biron,1996,2014,18,36,187,84,508,230,191,13893,0.910,0.918,28614,90,25,3.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ben Bishop,2009,2017,22,30,200,98,239,135,68,6523,0.920,0.926,13574,134,29,4.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,Sergei Bobrovsky,2011,2017,22,28,187,82,276,145,93,8060,0.918,0.932,15731,157,31,5.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Dan Bouchard,1973,1986,,35,182,86,655,286,232,3137,0.876,0.882,37919,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Brian Boucher,2000,2013,23,36,187,89,328,120,139,8272,0.901,0.918,18220,47,13,3.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
23,Fred Brathwaite,1994,2004,21,31,170,84,254,81,99,6344,0.901,0.91,13840,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24,Martin Brodeur,1992,2015,19,42,187,99,1266,691,397,31709,0.912,0.927,74439,205,61,3.361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
25,Richard Brodeur,1980,1988,,,170,72,385,131,175,6245,0.864,,21968,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Ilya Bryzgalov,2002,2015,21,34,190,96,465,221,162,13011,0.912,0.921,26550,223,65,3.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
27,Peter Budaj,2006,2017,23,34,185,89,307,131,110,8004,0.903,0.905,16960,88,34,2.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
28,Sean Burke,1988,2007,21,40,193,95,820,324,341,23299,0.902,0.922,46442,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
29,Frank Caprice,1983,1988,,25,175,68,102,31,46,2767,0.860,0.0,5589,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Jim Carey,1995,1999,20,24,187,93,172,79,65,4066,0.898,0.906,9668,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
31,Sebastien Caron,2003,2012,22,31,185,77,95,26,48,2741,0.892,0.883,5156,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
32,Jon Casey,1984,1997,21,34,177,70,425,170,157,11164,0.888,0.9,23255,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,Roman Cechmanek,2001,2004,29,32,190,85,212,110,64,5161,0.919,0.925,12085,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Tim Cheveldae,1989,1997,20,28,177,88,340,149,136,9530,0.883,0.889,19172,,,,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
35,Alain Chevrier,1986,1991,24,29,172,81,234,91,100,6197,0.864,0.873,12202,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Scott Clemmensen,2002,2015,24,37,187,91,191,73,59,4931,0.905,0.917,10059,67,25,2.680,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
37,Dan Cloutier,1998,2008,21,31,185,88,351,139,142,8625,0.899,0.914,18927,4,3,1.333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
38,Jacques Cloutier,1982,1994,,34,170,76,255,82,102,5448,0.874,0.88,12826,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
39,Ty Conklin,2002,2012,25,35,185,84,215,96,67,5484,0.906,0.923,11527,59,24,2.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
40,Corey Crawford,2006,2017,21,32,187,98,336,188,100,9235,0.919,0.926,19334,198,39,5.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,Byron Dafoe,1993,2004,21,32,180,90,415,171,170,10897,0.904,0.926,23478,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,Marc Denis,1997,2009,19,31,185,87,349,112,179,10044,0.902,0.918,19526,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Michel Dion,1980,1985,,30,177,84,227,60,118,1253,0.856,0.853,12695,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Rick DiPietro,2001,2013,19,31,182,84,318,130,136,8915,0.902,0.919,18199,40,24,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,Devan Dubnyk,2010,2017,23,30,198,96,307,134,120,8856,0.916,0.929,17417,154,39,3.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Mike Dunham,1997,2007,24,34,190,90,394,141,178,10701,0.908,0.923,21653,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
47,Don Edwards,1977,1986,,30,175,72,459,208,155,3215,0.866,0.871,26181,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Darren Eliot,1985,1989,23,27,185,79,89,25,41,2536,0.851,0.855,4931,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Brian Elliott,2008,2017,22,31,187,94,332,168,105,8497,0.913,0.94,18247,170,56,3.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,Dan Ellis,2004,2015,23,34,185,88,212,87,79,5579,0.906,0.924,11306,86,42,2.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Ray Emery,2003,2015,20,32,187,89,287,145,86,7432,0.906,0.918,15488,80,25,3.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
52,Jhonas Enroth,2010,2017,21,28,177,79,150,50,68,4303,0.910,0.904,8236,71,18,3.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Robert Esche,1999,2007,21,29,185,95,186,78,64,4616,0.899,0.915,10139,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Tony Esposito,1969,1984,,40,180,84,886,423,306,622,0.859,0.0,52585,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Bob Essensa,1989,2002,24,37,182,86,446,173,176,12105,0.895,0.91,24215,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
56,Manny Fernandez,1995,2009,20,34,182,94,325,143,123,8803,0.912,0.924,18580,16,7,2.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,Eric Fichaud,1996,2001,20,25,180,81,95,22,47,2445,0.897,0.899,4799,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,Stephane Fiset,1990,2002,19,31,185,97,390,164,153,11079,0.899,0.915,21785,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,Mark Fitzpatrick,1989,2000,20,31,187,88,329,113,136,9202,0.896,0.914,18329,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Wade Flaherty,1992,2003,24,35,182,77,120,27,56,3093,0.887,0.0,5941,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,Marc-Andre Fleury,2004,2017,19,32,187,81,663,363,208,18631,0.912,0.921,38231,276,70,3.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Bob Froese,1983,1990,,31,180,80,242,128,72,5738,0.889,0.909,13451,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
63,Grant Fuhr,1982,2000,,37,177,91,868,403,295,21873,0.887,0.903,48945,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
64,Mathieu Garon,2001,2013,23,35,185,93,341,144,131,8938,0.903,0.913,18342,85,38,2.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,John Garrett,1980,1985,,33,172,79,207,68,91,1001,0.843,0.0,11763,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Martin Gerber,2003,2011,28,36,182,93,229,113,78,6349,0.911,0.918,12920,43,16,2.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Jean-Sebastien Giguere,1997,2014,19,36,185,91,597,262,216,16325,0.913,0.922,33717,120,34,3.529,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
68,Mario Gosselin,1984,1994,20,30,172,72,241,91,107,6228,0.871,0.887,12857,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
69,John Grahame,2000,2008,24,32,190,99,224,97,86,5612,0.898,0.909,12363,3,4,0.750,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Thomas Greiss,2008,2017,22,31,185,103,135,61,44,3574,0.917,0.925,7271,61,10,6.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,Jonas Gustavsson,2010,2017,25,32,193,91,174,72,64,4602,0.902,0.902,9462,62,22,2.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,Jeff Hackett,1989,2004,20,35,185,89,500,166,244,13873,0.902,0.927,28125,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,Jaroslav Halak,2007,2017,21,31,180,82,375,202,118,10381,0.917,0.926,21665,201,42,4.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,Glen Hanlon,1978,1991,,33,182,84,477,167,202,8474,0.885,0.893,26037,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Josh Harding,2006,2014,21,29,185,91,151,60,59,3984,0.918,0.917,7995,66,17,3.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Dominik Hasek,1991,2008,26,43,185,75,735,389,223,20220,0.922,0.937,42837,19,6,3.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
77,Brian Hayward,1983,1993,,32,177,81,357,143,156,9112,0.873,0.896,20025,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,Glenn Healy,1986,2001,23,38,175,86,437,166,190,12058,0.887,0.9,24256,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,Guy Hebert,1992,2001,25,,180,84,491,191,222,14400,0.909,,27889,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,Johan Hedberg,2001,2013,27,39,182,86,373,161,143,9918,0.901,0.915,20758,82,31,2.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,Denis Herron,1973,1986,,33,180,75,462,146,203,2654,0.879,0.885,25608,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Ron Hextall,1987,1999,22,34,190,87,608,296,214,16366,0.895,0.913,34750,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,Jonas Hiller,2008,2016,25,33,187,86,404,197,140,11222,0.914,0.924,22601,203,57,3.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
84,Corey Hirsch,1993,2003,20,30,177,79,108,34,45,2895,0.896,0.903,5775,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,Milan Hnilicka,2000,2004,26,30,185,86,121,29,67,3598,0.900,0.908,6509,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,Johan Holmqvist,2001,2008,22,,190,89,99,48,34,2389,0.890,,5264,19,17,1.118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,Braden Holtby,2011,2017,21,27,187,98,253,155,62,7220,0.921,0.923,14476,148,28,5.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Jimmy Howard,2006,2017,21,32,185,99,380,191,115,10483,0.915,0.924,21836,199,51,3.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
89,Jim Hrivnak,1990,1994,21,25,187,88,85,34,30,2129,0.877,0.876,4217,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
90,Kelly Hrudey,1984,1998,23,37,177,85,677,271,265,20328,0.893,0.91,38084,,,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,Cristobal Huet,2003,2010,27,34,185,93,272,129,90,7216,0.913,0.929,15260,80,27,2.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,Arturs Irbe,1992,2004,24,36,172,86,568,218,236,15033,0.899,0.923,32066,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Pat Jablonski,1990,1998,22,30,182,81,128,28,62,3411,0.879,0.874,6634,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
94,Bob Janecyk,1984,1989,26,31,185,81,110,43,47,3259,0.867,0.877,6250,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Al Jensen,1981,1987,,,177,81,179,95,53,2796,0.881,,9974,,,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Brent Johnson,1999,2012,21,34,190,90,309,140,112,7717,0.904,0.907,16978,46,17,2.706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,Chad Johnson,2010,2017,23,30,190,89,106,52,32,2860,0.915,0.92,6010,52,12,4.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,Martin Jones,2014,2017,24,27,193,86,110,58,40,2802,0.918,0.918,6266,59,14,4.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,Curtis Joseph,1990,2009,22,41,180,87,943,454,352,26795,0.906,0.915,54054,5,7,0.714,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
100,Doug Keans,1980,1988,,30,170,84,210,96,64,3902,0.877,0.884,11388,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
